epoch,lr,train_loss,val_loss,val_auc,val_eer,val_ap
1,0.0003333333333333333,0.309482098112648,0.3008810794697358,0.7414044444444444,0.34400000000000003,0.9646694022176712
2,0.0005,0.29298269865779336,0.2772427588128127,0.7299022222222222,0.31799999999999995,0.9651939431341671
3,0.0005,0.2799521515907186,0.309977323981002,0.7876977777777776,0.2826666666666667,0.9764414928530999
4,0.0004983095894354857,0.2652200920144057,0.25098077182729656,0.8100622222222222,0.268,0.9791473451874995
5,0.0004932612176449559,0.26507851957629486,0.24741376778827265,0.8370844444444444,0.242,0.9818661503993078
6,0.0004849231551964771,0.2597834907541693,0.24445365668417743,0.8227377777777778,0.2633333333333333,0.9803093143873394
7,0.00047340816008085306,0.26265926600223277,0.2642427940333549,0.8073955555555554,0.256,0.9785352731741754
8,0.0004588719528532341,0.24628706848156093,0.2645154813519464,0.8093511111111111,0.2533333333333333,0.9792869441205171
9,0.0004415111107797445,0.24457182849977643,0.27119806833350313,0.7834844444444445,0.2926666666666667,0.9758289596542515
10,0.00042156040946718344,0.24759925526655685,0.2519428920215712,0.7792000000000001,0.29133333333333333,0.9755343895228046
11,0.00039928964792569654,0.2387539224862894,0.25769405357109815,0.8165511111111111,0.2646666666666667,0.979990684078389
12,0.000375,0.23525038088287353,0.24629964776193866,0.8019911111111111,0.29133333333333333,0.9780662730251117
