alpha,attack_eps,coverage,coverage_certav_abstained,coverage_certified_at_radius,coverage_fake,coverage_real,coverage_uncertified_at_radius,key,mean_set_size,n,n_calibration,qhat,radius,score_type,singleton_rate,source,variant
0.05,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.50__score_log,2.0,825,825,0.6931471805599453,0.5,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.1,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_0.50__score_log,2.0,825,825,0.6931471805599453,0.5,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.2,,0.9721212121212122,1.0,0.9709962168978562,1.0,0.6933333333333334,1.0,alpha_0.200__r_0.50__score_log,1.1745454545454546,825,825,0.04921296833675208,0.5,log,0.8254545454545454,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.05,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_1.00__score_log,2.0,825,825,0.6931471805599453,1.0,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.1,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_1.00__score_log,2.0,825,825,0.6931471805599453,1.0,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.2,,0.9721212121212122,1.0,0.9694148936170213,1.0,0.6933333333333334,1.0,alpha_0.200__r_1.00__score_log,1.1745454545454546,825,825,0.04921296833675208,1.0,log,0.8254545454545454,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.05,0.25,0.936969696969697,1.0,0.936969696969697,0.996,0.3466666666666667,,alpha_0.050__r_0.00__score_raw,1.0981818181818181,825,825,0.864,0.0,raw,0.9018181818181819,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,0.9187878787878788,1.0,0.9187878787878788,0.9893333333333333,0.21333333333333335,,alpha_0.100__r_0.00__score_raw,1.0387878787878788,825,825,0.28700000000000003,0.0,raw,0.9612121212121212,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9648484848484848,1.0,0.6133333333333333,,alpha_0.200__r_0.00__score_raw,1.2012121212121212,825,825,0.028000000000000025,0.0,raw,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.25__score_raw,2.0,825,825,0.5,0.25,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,0.9187878787878788,1.0,0.9166666666666666,0.9893333333333333,0.21333333333333335,1.0,alpha_0.100__r_0.25__score_raw,1.0387878787878788,825,825,0.33304338689749724,0.25,raw,0.9612121212121212,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9639303482587065,1.0,0.6133333333333333,1.0,alpha_0.200__r_0.25__score_raw,1.2012121212121212,825,825,0.048021633141175024,0.25,raw,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.50__score_raw,2.0,825,825,0.5,0.5,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_0.50__score_raw,2.0,825,825,0.5,0.5,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9631979695431472,1.0,0.6133333333333333,1.0,alpha_0.200__r_0.50__score_raw,1.2012121212121212,825,825,0.048021633141175024,0.5,raw,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
