epoch,lr,train_loss,val_loss,val_auc,val_eer,val_ap
1,0.0003333333333333333,0.30791681181809466,0.2935596194404822,0.7460266666666666,0.35133333333333333,0.9652717390596945
2,0.0005,0.2889687980861399,0.27368994071506536,0.7374933333333333,0.314,0.964559210342936
3,0.0005,0.2764018109006444,0.2927041679280452,0.7861688888888889,0.2986666666666667,0.9752046051868116
4,0.0004983095894354857,0.2679271784077758,0.28192683538565266,0.7991111111111111,0.29133333333333333,0.9773944615864741
5,0.0004932612176449559,0.2711898892735328,0.2679894089412231,0.7971911111111112,0.266,0.9744713158924271
6,0.0004849231551964771,0.270911976451603,0.2844390330764537,0.785831111111111,0.29133333333333333,0.9751820456399557
7,0.00047340816008085306,0.26333832472593705,0.2343667135663474,0.84224,0.25,0.9827496706907657
8,0.0004588719528532341,0.2457213936474066,0.25003850252295917,0.859928888888889,0.23733333333333334,0.9848494152935242
9,0.0004415111107797445,0.23400678763966,0.253211414334006,0.8597688888888888,0.24,0.9848771605400133
10,0.00042156040946718344,0.23920283814760782,0.235230014175893,0.8435555555555556,0.23866666666666664,0.9832200570253606
11,0.00039928964792569654,0.23179444855975598,0.24176652890701705,0.8610666666666665,0.21466666666666667,0.9849964034818303
12,0.000375,0.2223731097002046,0.2596223254849275,0.8605155555555556,0.22799999999999998,0.9850098935210333
13,0.00034901994150978924,0.2254231726850723,0.24030045481721082,0.8603555555555555,0.22799999999999998,0.9850004425669521
14,0.0003217008081777726,0.2237417275399787,0.2320060793740245,0.8552355555555555,0.22999999999999998,0.9844095558463105
15,0.00029341204441673266,0.21461014930787786,0.22546492476696864,0.8540977777777776,0.236,0.9840344156786784
16,0.00026453620722761897,0.20776259230795902,0.2219739772307758,0.8620088888888888,0.21733333333333332,0.9849302909672204
17,0.00023546379277238105,0.2021577408797754,0.227756288045874,0.8550577777777778,0.242,0.984279631897543
18,0.00020658795558326743,0.20381516098763108,0.2513107505376236,0.8781333333333333,0.21866666666666668,0.9869511708460771
19,0.00017829919182222752,0.19214287186181558,0.2667961456956199,0.86176,0.22666666666666668,0.9847012140549541
20,0.0001509800584902108,0.18814099015347652,0.23218582243694422,0.8867377777777778,0.18066666666666664,0.9880584023809016
21,0.00012500000000000006,0.17932945937478598,0.24685620461017466,0.8950222222222223,0.1873333333333333,0.9889832808622376
22,0.00010071035207430351,0.17969073310388875,0.2234315807447554,0.8941155555555554,0.176,0.9885873806576317
23,7.843959053281663e-05,0.16677459358736194,0.224757310280648,0.9041955555555555,0.18866666666666665,0.9897510598620152
24,5.848888922025553e-05,0.1588849036411092,0.23819886781096172,0.8947377777777777,0.21066666666666667,0.9885642750740687
25,4.112804714676593e-05,0.15346577178654977,0.2179755370508736,0.8982755555555556,0.19866666666666669,0.9887212771026145
26,2.659183991914696e-05,0.14299398094228,0.2563099858243032,0.8960355555555556,0.1873333333333333,0.9885773809398615
27,1.5076844803522921e-05,0.14324178891410122,0.24194175687164085,0.90256,0.17333333333333334,0.9894043559926466
28,6.7387823550440485e-06,0.14577638703229098,0.24444085052416015,0.8954844444444445,0.1893333333333333,0.9884943768827801
29,1.6904105645142442e-06,0.13761949071953367,0.22849251217513272,0.9023288888888888,0.1706666666666667,0.9893414074053462
30,0.0,0.13470556779790677,0.2505515115583246,0.9013688888888889,0.16933333333333334,0.9892335583590565
